                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0866,                 1.1372,                 1.4271,                 0.7783,                0.63845,                0.69394,                0.37683,                 1.6113,                  1.209,                 1.8847,             0.00023782,             0.00023782,             0.00023782
                      2,                 1.1261,                 1.1896,                 1.4509,                0.77057,                0.64416,                0.71745,                0.38026,                 1.6505,                 1.2661,                 1.9525,             0.00047111,             0.00047111,             0.00047111
                      3,                 1.1455,                   1.24,                 1.4664,                0.76241,                0.63079,                0.70267,                0.37792,                 1.6162,                 1.2485,                 1.8755,             0.00069969,             0.00069969,             0.00069969
                      4,                 1.1439,                  1.254,                 1.4741,                 0.7786,                 0.6022,                0.67359,                0.37158,                 1.6081,                 1.3419,                 1.9267,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1539,                 1.2685,                 1.4849,                0.75815,                0.60456,                 0.6546,                0.36244,                 1.5953,                 1.3384,                  1.886,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1666,                 1.2713,                 1.4866,                0.82465,                0.58341,                0.69944,                0.35435,                  1.722,                 1.3097,                 1.9734,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.1378,                 1.2642,                 1.4772,                0.71285,                0.68114,                0.71768,                0.37619,                 1.6432,                 1.2537,                 1.9545,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.1444,                 1.2549,                 1.4762,                0.80362,                0.62749,                 0.7099,                0.39229,                 1.6362,                 1.2533,                 1.9238,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.1488,                  1.252,                 1.4725,                0.76372,                0.62808,                0.68564,                0.37358,                 1.6181,                 1.2639,                  1.902,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.1484,                 1.2515,                 1.4737,                0.76501,                0.63791,                0.70053,                0.37409,                 1.6501,                 1.2757,                 1.9372,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.1293,                 1.2314,                 1.4605,                 0.7993,                0.62888,                0.71151,                 0.3583,                 1.6973,                 1.2417,                 1.9646,             0.00065038,             0.00065038,             0.00065038
                     12,                  1.134,                 1.2332,                 1.4599,                0.79042,                0.64421,                0.71792,                0.37975,                 1.6845,                 1.2793,                 1.9612,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.1322,                 1.2234,                 1.4605,                0.76498,                 0.6518,                0.69783,                0.36055,                 1.6806,                 1.3049,                 1.9562,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.1235,                 1.2057,                 1.4534,                0.74087,                0.68734,                0.73221,                0.39122,                 1.6781,                 1.1853,                 1.9651,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.1263,                  1.215,                 1.4469,                0.78673,                0.65717,                0.71957,                0.40652,                 1.5598,                 1.2249,                 1.8225,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.1209,                 1.2139,                 1.4499,                0.78388,                0.66634,                0.73943,                0.39119,                 1.6674,                 1.2398,                  1.939,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.1137,                 1.1938,                 1.4448,                0.76923,                0.63683,                0.68743,                0.36571,                  1.645,                 1.2854,                 1.9178,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.1234,                 1.1972,                 1.4454,                0.72323,                0.64613,                 0.6932,                0.37773,                 1.6296,                 1.3163,                  1.895,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.1179,                 1.1988,                 1.4424,                0.74236,                0.66828,                0.69763,                0.37516,                 1.6383,                 1.2534,                 1.9322,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.1103,                 1.1829,                 1.4347,                0.76123,                0.67117,                0.72199,                0.40294,                 1.5757,                 1.2552,                 1.8614,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.1147,                 1.1833,                 1.4378,                0.80109,                0.68192,                0.74631,                0.40848,                 1.5993,                 1.1841,                 1.8821,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.1118,                 1.1736,                 1.4334,                0.78377,                0.66928,                0.73937,                0.40408,                 1.5679,                 1.1315,                 1.8453,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.0953,                  1.158,                 1.4303,                0.80591,                0.62802,                0.71537,                0.39566,                 1.5544,                 1.2016,                 1.8524,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.1076,                 1.1697,                 1.4308,                  0.755,                0.64968,                0.70646,                 0.3755,                 1.6262,                 1.2889,                 1.9094,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.1094,                 1.1749,                 1.4317,                0.77771,                0.63668,                0.70867,                0.38463,                 1.6088,                 1.2894,                 1.8981,             0.00055142,             0.00055142,             0.00055142
                     26,                  1.096,                 1.1567,                 1.4211,                0.75552,                0.65021,                 0.7101,                0.37952,                 1.6397,                 1.2574,                 1.9004,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.0991,                 1.1473,                 1.4255,                0.79858,                0.69171,                0.73885,                0.40242,                 1.6174,                 1.1922,                 1.8806,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.0876,                 1.1471,                 1.4229,                0.81695,                0.65707,                0.74052,                0.39684,                 1.6136,                  1.174,                 1.8975,             0.00053022,             0.00053022,             0.00053022
                     29,                 1.0753,                 1.1385,                 1.4131,                0.75545,                0.68324,                0.72062,                0.38827,                 1.6441,                 1.1937,                 1.9148,             0.00052315,             0.00052315,             0.00052315
                     30,                 1.0742,                 1.1351,                  1.409,                0.76721,                0.68456,                0.70596,                  0.366,                  1.684,                 1.1877,                 1.9696,             0.00051608,             0.00051608,             0.00051608
                     31,                 1.0801,                 1.1376,                 1.4115,                0.81403,                0.67448,                0.74298,                0.40955,                 1.5719,                 1.1368,                 1.8305,             0.00050901,             0.00050901,             0.00050901
                     32,                 1.0823,                 1.1272,                 1.4086,                0.78581,                0.66731,                0.73102,                0.39328,                 1.6012,                  1.138,                 1.8902,             0.00050194,             0.00050194,             0.00050194
                     33,                 1.0745,                 1.1202,                 1.4013,                0.80722,                0.67091,                0.75947,                0.42707,                 1.5694,                 1.1503,                 1.8472,             0.00049487,             0.00049487,             0.00049487
                     34,                 1.0732,                 1.1046,                 1.4018,                 0.7897,                 0.6511,                0.73529,                0.39758,                 1.5919,                   1.15,                 1.8739,              0.0004878,              0.0004878,              0.0004878
                     35,                 1.0745,                 1.1229,                 1.4005,                0.77495,                0.68923,                0.75071,                0.40429,                 1.6193,                  1.137,                 1.8748,             0.00048074,             0.00048074,             0.00048074
                     36,                  1.071,                 1.1095,                 1.4071,                0.78337,                0.67851,                0.72794,                0.42282,                  1.519,                  1.089,                 1.7812,             0.00047367,             0.00047367,             0.00047367
