                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3343,                 1.8924,                 1.6523,                0.65592,                0.38944,                0.43758,                0.19271,                 1.9996,                 2.0309,                 2.2982,             0.00026161,             0.00026161,             0.00026161
                     35,                 1.3217,                 1.8885,                 1.6482,                 0.6274,                0.38084,                0.41884,                0.19595,                 1.9946,                 2.0612,                 2.2706,             0.00024747,             0.00024747,             0.00024747
                     36,                  1.315,                 1.8735,                 1.6409,                0.65439,                0.39409,                0.42784,                0.19588,                 2.0047,                 2.0353,                  2.302,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.3237,                 1.8757,                 1.6423,                0.60171,                 0.4086,                0.42739,                0.18306,                 2.0248,                 2.0334,                 2.2716,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.3157,                  1.866,                 1.6368,                0.61235,                0.40482,                0.44418,                 0.2031,                 1.9697,                 1.9856,                 2.2445,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.3065,                 1.8373,                 1.6297,                 0.6175,                0.41286,                0.44449,                0.20278,                 1.9852,                 1.9699,                 2.2605,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.3022,                 1.8292,                 1.6232,                0.68216,                0.40252,                0.45429,                0.20856,                 2.0093,                  1.948,                 2.2619,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.3429,                 1.7863,                 1.6499,                0.67645,                0.40307,                0.45329,                0.20824,                   1.97,                 1.9796,                 2.2354,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.3294,                 1.7543,                 1.6386,                0.67946,                0.40175,                0.46128,                0.20583,                 1.9909,                 1.9275,                 2.2592,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.3363,                 1.7295,                 1.6373,                0.69716,                0.42361,                 0.4629,                0.21372,                 1.9588,                 1.9269,                 2.2105,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.3233,                 1.7125,                 1.6247,                0.69239,                0.42082,                0.47227,                0.22014,                   1.97,                 1.8878,                 2.2181,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.3183,                 1.6991,                 1.6256,                0.69157,                0.41494,                  0.468,                0.21876,                 1.9805,                 1.8806,                 2.2399,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.3106,                 1.6825,                 1.6196,                0.68402,                0.42463,                0.47455,                0.22748,                 1.9387,                 1.8395,                 2.2004,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                 1.3052,                 1.6585,                 1.6131,                0.70516,                 0.4293,                0.48234,                0.22993,                 1.9347,                 1.8123,                 2.1937,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                    1.3,                 1.6546,                 1.6094,                0.71686,                0.42043,                0.48327,                0.22683,                 1.9443,                 1.8162,                 2.1966,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                  1.296,                 1.6355,                  1.599,                0.69077,                0.43151,                 0.4836,                0.23007,                 1.9453,                  1.796,                 2.2068,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 1.2982,                 1.6418,                 1.6033,                0.70917,                0.43057,                0.49172,                0.23356,                 1.9555,                   1.78,                    2.2,             3.5414e-05,             3.5414e-05,             3.5414e-05
