                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7085,                 3.8428,                 3.6324,                0.15357,                 0.2204,                0.10337,                  0.034,                 2.5448,                 3.8322,                  3.324,             0.00023764,             0.00023764,             0.00023764
                      2,                 1.9834,                 2.7707,                 2.6052,                0.29528,                0.31161,                0.25257,                0.09381,                 2.2617,                  2.997,                 2.8975,             0.00046623,             0.00046623,             0.00046623
                      3,                 1.7848,                  2.498,                 2.2822,                0.44641,                0.37693,                0.33239,                0.12703,                  2.186,                 2.6893,                 2.7744,             0.00068538,             0.00068538,             0.00068538
                      4,                  1.693,                 2.3554,                 2.1387,                0.48639,                0.39459,                0.39574,                0.16163,                  2.112,                 2.5154,                 2.6378,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.5943,                 2.2167,                 2.0328,                0.60745,                0.45213,                0.48319,                0.20082,                 2.0061,                 2.3961,                 2.4845,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.5691,                 2.1389,                 1.9859,                0.55757,                0.44874,                0.46833,                0.19916,                 2.0272,                 2.3203,                 2.5358,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.5176,                 2.0591,                 1.9215,                0.61873,                0.47165,                0.51148,                0.23389,                 1.9224,                 2.1954,                 2.3899,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.4905,                 2.0002,                 1.8884,                 0.6482,                0.47451,                0.54028,                0.23988,                 1.9039,                 2.1198,                  2.409,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.4526,                 1.9487,                 1.8592,                0.65063,                0.50994,                0.56437,                0.26202,                 1.9125,                 2.0202,                 2.3546,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.4281,                 1.8658,                 1.8202,                0.63516,                0.53986,                0.56649,                 0.2676,                  1.873,                 1.9927,                 2.3127,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.4108,                 1.8355,                 1.7991,                0.68593,                0.53257,                0.58142,                0.26944,                 1.8813,                 2.0257,                 2.3021,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.3887,                 1.7944,                 1.7807,                0.66275,                0.55043,                0.59054,                0.29673,                 1.8003,                 1.8622,                 2.2329,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.3852,                 1.7577,                 1.7697,                0.73462,                0.53964,                0.60023,                0.28304,                 1.8648,                 1.8322,                 2.2657,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.3646,                 1.7326,                 1.7476,                0.75902,                0.55179,                0.62201,                0.28721,                   1.89,                 1.7302,                 2.2591,             0.00054435,             0.00054435,             0.00054435
                     15,                  1.351,                 1.6909,                 1.7301,                0.76175,                0.53704,                0.62566,                0.30521,                 1.8181,                  1.779,                 2.2186,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.3321,                 1.6584,                 1.7147,                0.76108,                0.58805,                0.63412,                0.30118,                  1.861,                 1.7681,                 2.2535,             0.00051608,             0.00051608,             0.00051608
