                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3115,                 1.8459,                 1.6324,                0.65898,                0.39133,                0.44567,                0.20521,                 1.9598,                 1.9945,                 2.2383,             0.00023763,             0.00023763,             0.00023763
                      2,                 1.3341,                 1.8945,                 1.6453,                0.72434,                0.36873,                0.43058,                0.20147,                 1.9864,                 2.0197,                 2.2646,             0.00046622,             0.00046622,             0.00046622
                      3,                 1.3539,                 1.9112,                 1.6488,                0.65204,                0.39425,                 0.4453,                0.20856,                 1.9851,                 2.0698,                  2.252,             0.00068538,             0.00068538,             0.00068538
                      4,                  1.349,                  1.914,                 1.6486,                0.56148,                0.38357,                0.41045,                0.17885,                 2.0404,                 2.1318,                 2.3044,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.3538,                 1.9229,                 1.6512,                0.55752,                0.37012,                0.40561,                0.17339,                 2.0918,                 2.0777,                 2.3383,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.3407,                 1.9144,                 1.6403,                0.62634,                0.40836,                0.45142,                0.21151,                 1.9549,                 2.0176,                 2.2228,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.3292,                 1.8703,                 1.6308,                0.60871,                0.37034,                0.41528,                0.19741,                 2.0283,                 2.1089,                 2.3002,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.3251,                 1.8805,                 1.6247,                0.57342,                0.44168,                0.46085,                0.20306,                  2.026,                 1.9503,                 2.2364,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.3388,                 1.8458,                 1.6236,                0.63837,                0.40267,                0.46589,                0.21345,                 1.9705,                 1.9504,                 2.2003,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.3254,                 1.8398,                 1.6184,                0.62696,                0.42311,                0.47107,                0.20999,                 1.9869,                 1.9123,                 2.2137,              0.0006009,              0.0006009,              0.0006009
