                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1329,                 1.1959,                 1.4869,                0.78114,                0.66039,                0.70584,                0.35223,                 1.7237,                 1.3031,                 2.0444,             0.00023729,             0.00023729,             0.00023729
                      2,                 1.1704,                 1.2416,                 1.5206,                0.77005,                0.60367,                0.69323,                0.36766,                 1.6834,                 1.3295,                 2.0265,             0.00046588,             0.00046588,             0.00046588
                      3,                 1.2109,                 1.3073,                 1.5427,                0.70814,                0.59583,                0.64559,                0.35554,                 1.6381,                  1.427,                 1.9977,             0.00068504,             0.00068504,             0.00068504
                      4,                 1.2115,                  1.307,                 1.5452,                0.74017,                0.59584,                0.67113,                0.33361,                 1.7627,                 1.4378,                 2.1155,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.1949,                 1.2951,                 1.5376,                0.72038,                0.58953,                0.64677,                0.33367,                 1.6934,                 1.4816,                 2.0062,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.2047,                 1.2933,                 1.5326,                0.73645,                0.61486,                0.66655,                0.35247,                 1.6942,                 1.4432,                 2.0209,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.1991,                 1.2923,                 1.5272,                0.84995,                0.62955,                0.73476,                0.37076,                 1.7125,                 1.3091,                  2.049,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.1887,                 1.2792,                 1.5259,                0.70222,                 0.6319,                0.67476,                0.34099,                 1.7508,                 1.3436,                 2.0461,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.1768,                 1.2585,                 1.5139,                0.79196,                0.58053,                0.65451,                0.34543,                 1.6795,                 1.4206,                  1.995,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.1803,                 1.2588,                   1.51,                0.77984,                0.66096,                0.72032,                 0.3833,                 1.6658,                 1.2855,                 1.9628,              0.0006009,              0.0006009,              0.0006009
                     11,                  1.166,                 1.2308,                 1.4953,                0.82609,                0.65608,                0.71931,                0.36449,                 1.7335,                 1.2715,                 2.0589,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.1612,                 1.2252,                 1.4953,                0.77525,                0.61544,                0.69863,                0.37857,                 1.6579,                 1.2927,                 1.9578,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.1616,                 1.2172,                 1.4949,                0.77546,                0.61545,                0.69844,                0.37144,                 1.6592,                  1.327,                 1.9669,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.1604,                 1.2257,                 1.4934,                0.79944,                 0.6144,                0.69913,                0.36491,                 1.6917,                  1.279,                 2.0047,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.1484,                 1.1949,                 1.4761,                0.79367,                0.64676,                0.70751,                0.39496,                 1.5747,                 1.2443,                  1.894,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.1385,                 1.1911,                 1.4697,                0.82632,                0.64312,                0.72917,                0.39725,                 1.6536,                 1.2353,                 1.9582,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.1323,                 1.1704,                 1.4605,                0.80914,                0.61691,                0.70232,                0.38684,                  1.607,                 1.2428,                 1.9217,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.1282,                 1.1528,                 1.4603,                0.79416,                0.65555,                0.72625,                0.39621,                 1.5974,                 1.2014,                 1.8922,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.1113,                 1.1494,                  1.447,                0.77845,                0.67495,                0.72254,                0.40482,                 1.5931,                 1.2367,                 1.8694,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.1173,                 1.1358,                  1.445,                0.84506,                0.62598,                0.72768,                0.40558,                  1.591,                 1.2226,                    1.9,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.1157,                 1.1325,                 1.4425,                0.79157,                 0.6122,                 0.6928,                0.38945,                 1.6151,                 1.2644,                 1.9062,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.0945,                 1.1159,                 1.4317,                0.77754,                0.68598,                0.72654,                0.39085,                 1.6338,                 1.1825,                 1.9115,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.0969,                 1.1078,                 1.4335,                 0.7396,                0.64975,                0.70642,                0.39013,                 1.6072,                 1.2201,                 1.8923,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.0928,                  1.103,                 1.4303,                0.74553,                0.64684,                0.69322,                0.37745,                 1.6469,                 1.2096,                 1.9364,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.0834,                 1.0919,                 1.4188,                0.79883,                0.64603,                0.71868,                0.37744,                 1.6535,                 1.1985,                 1.9472,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.0833,                 1.0735,                 1.4141,                0.76083,                0.64178,                0.72216,                0.38691,                 1.6466,                   1.17,                 1.9095,             0.00037471,             0.00037471,             0.00037471
                     27,                 1.0856,                 1.0831,                 1.4165,                0.80281,                 0.6274,                0.70787,                0.39127,                  1.592,                 1.2369,                 1.8916,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.0795,                 1.0708,                 1.4136,                0.77087,                0.67208,                 0.7279,                0.40259,                 1.5953,                 1.1753,                 1.8754,             0.00034643,             0.00034643,             0.00034643
                     29,                 1.0667,                 1.0489,                 1.4006,                0.75795,                0.69167,                0.73205,                0.42323,                 1.5527,                 1.1561,                 1.8498,              0.0003323,              0.0003323,              0.0003323
                     30,                 1.0686,                 1.0538,                 1.4003,                0.77682,                0.63591,                0.70284,                0.39283,                 1.6089,                 1.1706,                 1.9039,             0.00031816,             0.00031816,             0.00031816
                     31,                 1.0567,                 1.0312,                 1.3921,                0.75162,                0.66225,                0.69718,                0.39325,                 1.5996,                 1.1869,                 1.8758,             0.00030402,             0.00030402,             0.00030402
                     32,                 1.0591,                 1.0454,                 1.3996,                0.80521,                0.65552,                0.73601,                0.41577,                 1.5855,                 1.1184,                 1.8668,             0.00028988,             0.00028988,             0.00028988
                     33,                 1.0482,                 1.0313,                 1.3844,                0.81356,                0.65922,                0.74557,                0.43545,                 1.5126,                 1.1181,                 1.7954,             0.00027575,             0.00027575,             0.00027575
                     34,                 1.0521,                 1.0191,                 1.3894,                0.80715,                0.68132,                0.74854,                0.44025,                  1.508,                 1.0936,                 1.7977,             0.00026161,             0.00026161,             0.00026161
                     35,                 1.0363,                 1.0035,                 1.3681,                0.82282,                 0.6525,                0.75477,                0.43463,                  1.546,                 1.0932,                 1.8297,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.0406,                 1.0206,                  1.383,                0.84638,                0.63065,                0.73028,                0.41617,                 1.5865,                 1.1121,                 1.8572,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.0297,                 0.9971,                 1.3695,                0.80807,                0.68259,                0.75856,                0.44486,                 1.5127,                 1.0583,                 1.7924,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.0323,                0.99394,                 1.3709,                 0.8174,                0.69329,                0.76689,                0.43976,                 1.5274,                 1.0478,                 1.8149,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.0198,                0.98147,                 1.3643,                0.80346,                 0.6607,                0.72926,                0.42429,                 1.5102,                  1.085,                 1.8002,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.0073,                0.96642,                 1.3487,                0.80232,                0.68912,                0.76159,                0.42822,                 1.5785,                 1.0534,                 1.8557,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.0078,                0.85524,                 1.3409,                0.84958,                0.67617,                0.76797,                0.44409,                 1.5204,                 1.0587,                 1.8277,             0.00016265,             0.00016265,             0.00016265
                     42,                0.99305,                0.83143,                 1.3317,                0.83015,                0.67972,                0.76802,                 0.4497,                 1.4989,                 1.0265,                  1.792,             0.00014851,             0.00014851,             0.00014851
                     43,                0.98222,                0.81629,                 1.3221,                0.80804,                 0.7015,                0.76383,                0.44193,                 1.5222,                 1.0539,                 1.8098,             0.00013437,             0.00013437,             0.00013437
                     44,                 0.9768,                0.80957,                 1.3177,                0.79321,                0.67523,                0.76207,                0.44795,                 1.5148,                 1.0525,                  1.798,             0.00012024,             0.00012024,             0.00012024
                     45,                0.97311,                0.80762,                 1.3141,                0.81236,                0.70837,                0.77556,                0.44958,                 1.5032,                 1.0178,                 1.7952,              0.0001061,              0.0001061,              0.0001061
                     46,                0.96691,                0.79691,                 1.3099,                0.80482,                0.71535,                0.76476,                 0.4486,                 1.5122,                 1.0281,                 1.7905,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.96267,                  0.794,                 1.3087,                0.80455,                0.69234,                0.75908,                0.44432,                 1.5028,                 1.0372,                 1.7998,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.95626,                0.78857,                 1.3014,                0.81808,                0.68466,                0.76867,                 0.4514,                 1.5051,                 1.0125,                 1.7994,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.94583,                0.77291,                 1.2922,                0.79922,                0.71204,                0.77006,                0.45512,                 1.5019,                0.99739,                  1.797,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.94857,                0.77956,                 1.2983,                0.79813,                0.69407,                0.76674,                0.45743,                 1.4914,                0.98946,                 1.7817,             3.5414e-05,             3.5414e-05,             3.5414e-05
